Network,FbID
Ova,FBgn0003041
Ova,FBgn0024250
Ova,FBgn0015282
Ova,FBgn0086613
Ova,FBgn0000499
Ova,FBgn0010602
Ova,FBgn0035213
Ova,FBgn0015805
Ova,FBgn0003430
Ova,FBgn0005777
Ova,FBgn0011259
HpoFec,FBgn0036790
HpoFec,FBgn0039044
HpoFec,FBgn0004638
HpoFec,FBgn0003041
HpoFec,FBgn0037573
HpoFec,FBgn0262029
HpoFec,FBgn0015282
HpoFec,FBgn0003444
HpoFec,FBgn0000044
HpoFec,FBgn0015268
HpoFec,FBgn0043903
HpoFec,FBgn0010905
HpoFec,FBgn0031610
HpoFec,FBgn0024846
HpoFec,FBgn0053208
HpoFec,FBgn0028509
HpoFec,FBgn0261014
HpoFec,FBgn0260632
xRNAiFec,FBgn0025637
xRNAiFec,FBgn0000659
xRNAiFec,FBgn0250789
xRNAiFec,FBgn0027932
xRNAiFec,FBgn0003444
xRNAiFec,FBgn0263108
xRNAiFec,FBgn0023172
xRNAiFec,FBgn0038167
xRNAiFec,FBgn0015282
xRNAiFec,FBgn0024846
xRNAiFec,FBgn0000499
xRNAiFec,FBgn0010602
Core,FBgn0010602
Core,FBgn0025674
Core,FBgn0003444
Core,FBgn0015268
Core,FBgn0000635
Core,FBgn0015282
Core,FBgn0005198
Core,FBgn0024846
Core,FBgn0010215
Core,FBgn0015838
