Module,FbID
Ova,FBgn0015838
Ova,FBgn0015282
Ova,FBgn0035213
Ova,FBgn0011259
Ova,FBgn0003607
Ova,FBgn0003430
Ova,FBgn0261014
Ova,FBgn0000546
Ova,FBgn0086613
Ova,FBgn0263396
Ova,FBgn0005777
HpoFec,FBgn0031610
HpoFec,FBgn0004638
HpoFec,FBgn0024846
HpoFec,FBgn0041627
HpoFec,FBgn0036790
HpoFec,FBgn0027619
HpoFec,FBgn0039234
HpoFec,FBgn0262029
HpoFec,FBgn0016917
HpoFec,FBgn0011726
HpoFec,FBgn0036136
HpoFec,FBgn0023540
HpoFec,FBgn0003041
HpoFec,FBgn0005777
HpoFec,FBgn0043903
HpoFec,FBgn0035640
HpoFec,FBgn0028509
HpoFec,FBgn0260632
xRNAiFec,FBgn0021944
xRNAiFec,FBgn0036790
xRNAiFec,FBgn0039044
xRNAiFec,FBgn0027535
xRNAiFec,FBgn0086613
xRNAiFec,FBgn0003444
xRNAiFec,FBgn0038167
xRNAiFec,FBgn0037874
xRNAiFec,FBgn0030018
xRNAiFec,FBgn0040078
xRNAiFec,FBgn0015838
Core,FBgn0015282
Core,FBgn0000499
Core,FBgn0014179
Core,FBgn0024846
Core,FBgn0000635
Core,FBgn0003444
Core,FBgn0025674
Core,FBgn0005198
Core,FBgn0023172
Core,FBgn0015268
